name,syd_n_de_dossier_cegid,syd_naf,syd_forme_juridique_sirene,syd_activite,syd_premiere_date_de_signature,syd_total_salaries,accountid
LA LIGERIENNE,07866,7022Z,SARL,Conseil,2019-09-30,0,2ABFE623-14E8-EB11-BACB-0022489B9951
L'EDELWEISS CAFE,07867,5630Z,SNC,Débits de boissons,2020-06-30,0,9D78702A-14E8-EB11-BACB-0022489B9951
FERRERE,07868,7420Z,EIRL,Activités photographiques,2019-10-03,2,B378702A-14E8-EB11-BACB-0022489B9951
LA CAV',07869,5630Z,SAS,Débits de boissons,2020-06-23,0,F2A38B31-14E8-EB11-BACB-0022489B9951
BODET MICHEL MANDATAIRE,07871,,IND,,2020-07-16,0,483E8B37-14E8-EB11-BACB-0022489B9951
CARQUEFOOD,07876,7022Z,SASU,Conseil pour les affaires et autres conseils de gestion,2020-04-02,6,EF773F4C-14E8-EB11-BACB-0022489B9951
LA DAMGAN BLEUE,07885,6820B,SCI,Location de terrains et d'autres biens immobiliers,2019-12-09,0,72BF9271-14E8-EB11-BACB-0022489B9951
SCI SAMODA,07887,6820A,SCI,,2019-09-27,0,F023157E-14E8-EB11-BACB-0022489B9951
CR BECKER,07889,7311Z,SAS,,2019-09-27,0,5C700D84-14E8-EB11-BACB-0022489B9951
COLLET,07892,6820B,SCI,Location de terrains et d'autres biens immobiliers,2020-01-07,0,42642693-14E8-EB11-BACB-0022489B9951
LAFA,07893,7022Z,SASU,Conseil pour les affaires et autres conseils de gestion,2019-09-30,1,2E25189B-14E8-EB11-BACB-0022489B9951
EURL MANCEAU SEBASTIEN,07895,4520A,EURL,Entretien et réparation de véhicules automobiles légers,2020-01-06,2,53A687A1-14E8-EB11-BACB-0022489B9951
AT,07897,6420Z,EURL,Activités des sociétés holding,2021-01-31,0,77FEF2A9-14E8-EB11-BACB-0022489B9951
CHRONO MATERIAUX,07900,4673A,SAS,Commerce de gros (commerce interentreprises) de bois et de matériaux de construction,2021-03-10,0,CA164AB6-14E8-EB11-BACB-0022489B9951
LJ FITNESS,07903,9312Z,SARL,,2019-12-17,0,86E692C2-14E8-EB11-BACB-0022489B9951
BO BOX,07905,4399B,SASU,Travaux de montage de structures métalliques,2019-11-07,0,564182CA-14E8-EB11-BACB-0022489B9951
GILLES TRANSPORTS,07908,4941A,EURL,Transports routiers de fret interurbains,2020-01-06,0,BBCA81D8-14E8-EB11-BACB-0022489B9951
M.A.G,07915,6820B,SCI,Location de terrains et d'autres biens immobiliers,2019-10-31,0,B85911F1-14E8-EB11-BACB-0022489B9951
NOVASTYLE,07917,9602A,EURL,Coiffure,2020-05-29,0,A7070DFF-14E8-EB11-BACB-0022489B9951
PBP,07919,4334Z,SASU,Travaux de peinture et vitrerie,2020-01-16,0,54F8CC06-15E8-EB11-BACB-0022489B9951
ABS AUTOMOBILES,07923,4520A,SARL,Entretien et réparation de véhicules automobiles légers,2021-06-15,11,6041381A-15E8-EB11-BACB-0022489B9951
SARL PATRICE THIERRY,07925,4321A,SARL,Travaux d'installation électrique dans tous locaux,2019-11-28,5,9157FD26-15E8-EB11-BACB-0022489B9951
S.C.I. VP ELEC,07926,6820B,SCI,Location de terrains et d'autres biens immobiliers,2019-11-28,0,A857FD26-15E8-EB11-BACB-0022489B9951
LORY,07931,9609Z,IND,Autres services personnels n.c.a.,2019-10-25,0,E8DEEC39-15E8-EB11-BACB-0022489B9951
BEAURY DOMINIQUE,07932,4391B,SARL,Travaux de couverture par éléments,2020-09-30,0,0CDFEC39-15E8-EB11-BACB-0022489B9951
ROBERT CARRELAGE,07934,4333Z,EURL,Travaux de revêtement des sols et des murs,2019-11-29,0,8CE94F46-15E8-EB11-BACB-0022489B9951
ROISNE,07935,8690E,IND,Activités des professionnels de la rééducation,2019-10-31,0,A8E94F46-15E8-EB11-BACB-0022489B9951
SMILE DECORS,07938,4334Z,EURL,Travaux de peinture et vitrerie,2024-10-09,2,D6D4035A-15E8-EB11-BACB-0022489B9951
MARTIN,07939,9602B,EIRL,Soins de beauté,2019-11-29,0,810B0860-15E8-EB11-BACB-0022489B9951
HENQUEL ,07940,6820A,IND,Location de logements,2020-05-22,0,69921A66-15E8-EB11-BACB-0022489B9951
BARBARIN PRODUCTION,07943,0130Z,EURL,Reproduction de plantes,2020-02-27,0,085B146D-15E8-EB11-BACB-0022489B9951
LES PETITES GRAINES,07945,6820B,SCI,Location de terrains et d'autres biens immobiliers,2020-02-27,0,575FEA73-15E8-EB11-BACB-0022489B9951
TOUTAIN,07947,5610A,SARL,Restauration traditionnelle,2020-01-07,2,DE82DE7B-15E8-EB11-BACB-0022489B9951
ARTISAN BENAITEAU DIDIER,07949,4334Z,EURL,Travaux de peinture et vitrerie,2019-11-27,2,A8B8A588-15E8-EB11-BACB-0022489B9951
L'INCONTOURNABLE IMMOBILIER,07950,6831Z,SAS,Agences immobilières,2019-11-04,4,CAB8A588-15E8-EB11-BACB-0022489B9951
MAISON RENAUD,07954,1071C,SARL,Boulangerie et boulangerie-pâtisserie,2019-11-08,0,C32D149B-15E8-EB11-BACB-0022489B9951
ANTILLE,07959,9002Z,EIRL,Activités de soutien au spectacle vivant,2019-12-20,0,29679DA7-15E8-EB11-BACB-0022489B9951
LE MORILLON,07960,1071C,IND,Boulangerie et boulangerie-pâtisserie,2019-11-28,0,45751AAE-15E8-EB11-BACB-0022489B9951
2N,07961,6820B,SCI,Location de terrains et d'autres biens immobiliers,2021-11-02,0,76751AAE-15E8-EB11-BACB-0022489B9951
MORGAN VIEW,07964,7311Z,SARL,Activités des agences de publicité,2020-01-08,0,EAC9AABA-15E8-EB11-BACB-0022489B9951
PARC EVENTS RECEPTION,07980,7022Z,SARL,,2019-12-20,0,7D8E070F-16E8-EB11-BACB-0022489B9951
RESTO ST MARTIN,07982,5610A,SARL,,2019-12-23,0,053B2115-16E8-EB11-BACB-0022489B9951
RPC,07985,6820B,SCI,,2019-12-24,0,44B65B21-16E8-EB11-BACB-0022489B9951
RPJCM,07986,6820B,SCI,,2019-12-24,0,FD356E27-16E8-EB11-BACB-0022489B9951
CORRE ,07988,8690d,IND,Activités des infirmiers et des sages-femmes,2019-11-27,0,1FC86D2D-16E8-EB11-BACB-0022489B9951
NGUYEN,07994,5610C,SARL,Restauration de type rapide,2020-10-07,2,E4C37E45-16E8-EB11-BACB-0022489B9951
MCLA,07995,6420Z,EURL,Activités des sociétés holding,2021-02-22,0,5DC47E45-16E8-EB11-BACB-0022489B9951
CAMPAS ,07997,6619B,IND,Conseil en gestion de patrimoine,2019-12-20,1,87208551-16E8-EB11-BACB-0022489B9951
LES CEPAGES BY CELINE,07999,5610A,SARL,Restauration traditionnelle,2020-01-23,10,6C687D57-16E8-EB11-BACB-0022489B9951
TIMELESS MOTOR,08000,4540Z,SARL,Commerce et réparation de motocycles,2020-02-28,0,C4FA1E5E-16E8-EB11-BACB-0022489B9951
JK LOUNGE,08001,5610C,EURL,,2019-12-24,0,E5FA1E5E-16E8-EB11-BACB-0022489B9951
LP AUTOMATISME,08007,6201Z,EURL,Programmation informatique,2020-12-18,0,76386479-16E8-EB11-BACB-0022489B9951
HU,08010,5630Z,EIRL,,2019-12-05,0,A87F5E85-16E8-EB11-BACB-0022489B9951
MARTIN,08014,6820B,SCI,Location de terrains et d'autres biens immobiliers,2019-12-03,0,954E6991-16E8-EB11-BACB-0022489B9951
ACYTIA,08016,6820B,SCI,Location de terrains et d'autres biens immobiliers,2020-01-17,0,CC480698-16E8-EB11-BACB-0022489B9951
SELARL DOCTEUR ROUSSET NATHALIE,08017,8623Z,SELARL,Pratique dentaire,2019-12-19,0,0B92FE9D-16E8-EB11-BACB-0022489B9951
PANORAMIX,08019,8299Z,SCM,Autres activités de soutien aux entreprises n.c.a.,2019-12-19,0,10BC8AA4-16E8-EB11-BACB-0022489B9951
LZO,08020,5610C,EURL,Restauration de type rapide,2019-12-09,0,599800AC-16E8-EB11-BACB-0022489B9951
ESPACE TV ATLANTIQUE,08024,7312Z,EURL,Régie publicitaire de médias,2020-01-08,1,EA2C3BB9-16E8-EB11-BACB-0022489B9951
LL FIT,08030,9313Z,SAS,Activités des centres de culture physique,2020-07-07,0,BA43C6D1-16E8-EB11-BACB-0022489B9951
CALPABER,08033,6820A,SCI,Location de logements,2019-12-19,0,06CCCEDD-16E8-EB11-BACB-0022489B9951
BABIN CHEVAYE,08035,6820B,SCI,,2020-07-25,0,44DCEAE3-16E8-EB11-BACB-0022489B9951
RENOU,08036,5610A,SARL,Restauration traditionnelle,2020-01-10,0,D24C09EA-16E8-EB11-BACB-0022489B9951
LA BELLE ANGEVINE,08037,6820B,SCI,Location de terrains et d'autres biens immobiliers,2020-01-10,0,66AF14F0-16E8-EB11-BACB-0022489B9951
MANQUILLET ET ASSOCIES,08045,6831Z,SAS,Agences immobilières,2020-12-09,4,EEAA2E0E-17E8-EB11-BACB-0022489B9951
CITADELLE IMMO,08046,6810Z,SAS,Activités des marchands de biens immobiliers,2020-07-25,0,E0572914-17E8-EB11-BACB-0022489B9951
LORILLON,08051,7112b,IND,"Ingénierie, études techniques",2020-01-07,0,F3B2DE2C-17E8-EB11-BACB-0022489B9951
ALMA,08052,6820B,SCI,,2020-02-04,0,3CB3DE2C-17E8-EB11-BACB-0022489B9951
L'EVASION SUCREE,08055,1071C,EURL,Boulangerie et boulangerie-pâtisserie,2020-02-27,6,16862739-17E8-EB11-BACB-0022489B9951
NATHEMM,08057,6820B,SCI,Location de terrains et d'autres biens immobiliers,2020-01-07,0,E0A77940-17E8-EB11-BACB-0022489B9951
SERGENT,08065,6820B,SCI,,2020-01-24,0,2DAF3A5C-17E8-EB11-BACB-0022489B9951
OUVRARD-COLINEAU,08066,6820B,SCI,Location de terrains et d'autres biens immobiliers,2021-04-19,0,614E0763-17E8-EB11-BACB-0022489B9951
HAPPY !,08082,8299Z,SASU,Autres activités de soutien aux entreprises n.c.a.,2020-02-24,0,063FB7A6-17E8-EB11-BACB-0022489B9951
BD REGIE PROD,08083,9329Z,SASU,Autres activités récréatives et de loisirs,2020-02-07,0,253FB7A6-17E8-EB11-BACB-0022489B9951
LALONG,08089,4322A,EIRL,Travaux d'installation d'eau et de gaz en tous locaux,2020-03-03,0,62B676BF-17E8-EB11-BACB-0022489B9951
LE MOULIN DES ANGES,08093,1071C,SAS,Boulangerie et boulangerie-pâtisserie,2020-02-26,0,DE5888D1-17E8-EB11-BACB-0022489B9951
DEROUET ,08099,6820A,IND,Location de logements,2021-03-13,0,86C021EA-17E8-EB11-BACB-0022489B9951
COMPAIN,08109,4399C,IND,Travaux de maçonnerie générale et gros œuvre de bâtiment,2020-02-26,0,E0B7FE0E-18E8-EB11-BACB-0022489B9951
BARRAULT ,08122,4776Z,IND,"Commerce de détail de fleurs, plantes, graines, engrais, animaux de compagnie et aliments pour ces",2020-02-28,1,41C69841-18E8-EB11-BACB-0022489B9951
APIFIT,08132,9313Z,SARL,,2020-06-26,0,7590AB5F-18E8-EB11-BACB-0022489B9951
L3BT'S,08142,5610A,SARL,Restauration traditionnelle,2020-08-25,3,5E11868C-18E8-EB11-BACB-0022489B9951
LAROUSSE ,08143,8690D,IND,,2020-03-12,0,A46C9192-18E8-EB11-BACB-0022489B9951
MARINE IMMOBILIER,08146,6820B,SCI,,2020-04-30,0,7BB28998-18E8-EB11-BACB-0022489B9951
IMMOVIX,08156,6820B,SCI,Location de terrains et d'autres biens immobiliers,2020-04-24,0,4F2C01BD-18E8-EB11-BACB-0022489B9951
MEDIMAIL,08163,,SCI,,2020-04-16,0,848E31CF-18E8-EB11-BACB-0022489B9951
MCU,08164,4711B,EURL,COMMERCE D'ALIMENTATION GENERALE                                                                    ,2020-06-03,0,1F9C2ED5-18E8-EB11-BACB-0022489B9951
SUERTE 14,08166,6820B,SCI,Location de terrains et d'autres biens immobiliers,2021-01-31,0,BBA534E1-18E8-EB11-BACB-0022489B9951
DOUBLE F,08172,1071C,SARL,Boulangerie et boulangerie-pâtisserie,2020-06-05,9,03F979F9-18E8-EB11-BACB-0022489B9951
STURMA DUBUIS ,08178,IRPP,IND,,2020-04-07,0,9C2A8A12-19E8-EB11-BACB-0022489B9951
GROUPCAPA RECRUTEMENT,08184,7022Z,SAS,Conseil pour les affaires et autres conseils de gestion,2020-07-25,0,DDB5E326-19E8-EB11-BACB-0022489B9951
GUIBERT DENIS ET EMILIE,08191,6820B,SCI,Location de terrains et d'autres biens immobiliers,2021-04-20,0,E4502840-19E8-EB11-BACB-0022489B9951
F&M,08195,8129A,SAS,,2020-05-07,0,7237604D-19E8-EB11-BACB-0022489B9951
DCB IMMO,08197,6820B,SCI,,,0,7559F159-19E8-EB11-BACB-0022489B9951
HOUDU,08205,4391B,IND,Travaux de couverture par éléments,2020-06-03,0,C907F57B-19E8-EB11-BACB-0022489B9951
TAKE OFF,08206,,SASU,,2020-06-25,0,DE07F57B-19E8-EB11-BACB-0022489B9951
TBTP,08207,4312A,EURL,Travaux de terrassement courants et travaux préparatoires,2020-06-30,0,EB821882-19E8-EB11-BACB-0022489B9951
RIBE FORMATION,08208,8559A,SAS,,2020-05-14,0,C6C21588-19E8-EB11-BACB-0022489B9951
HOUSSIN,08211,8690B,IND,,2020-09-22,0,68E22890-19E8-EB11-BACB-0022489B9951
LY VU,08213,5610C,EURL,Restauration de type rapide,2020-06-05,2,86DA5096-19E8-EB11-BACB-0022489B9951
TARARE,08215,6820B,SCI,Location de terrains et d'autres biens immobiliers,2020-06-30,0,DF50D69C-19E8-EB11-BACB-0022489B9951
MARYSE BASTIE,08217,6820B,SCI,Location de terrains et d'autres biens immobiliers,2020-05-20,0,AD7BF1A3-19E8-EB11-BACB-0022489B9951
ROUSTEAU CEDRIC,08222,4399C,EURL,Travaux de maçonnerie générale et gros œuvre de bâtiment,2020-06-26,0,A7FF92B9-19E8-EB11-BACB-0022489B9951
LE PETIT MALIDOR,08223,6820B,SCI,Location de terrains et d'autres biens immobiliers,2020-06-29,0,1B9899BF-19E8-EB11-BACB-0022489B9951
SHANTI,08224,6820B,SCI,Location de terrains et d'autres biens immobiliers,2020-05-28,0,5A9899BF-19E8-EB11-BACB-0022489B9951
BRUNEL ,08226,IRPP,IND,,2020-06-24,0,EC8CCACB-19E8-EB11-BACB-0022489B9951
AUX PLAISIRS CARNES,08227,4722Z,SARL,,2020-06-05,0,FE8CCACB-19E8-EB11-BACB-0022489B9951
VERNEAU ,08230,8690d,IND,Activités des infirmiers et des sages-femmes,2020-07-06,0,5A363AD2-19E8-EB11-BACB-0022489B9951
LE VIN QUOTIDIEN,08233,4725Z,SAS,Commerce de détail de boissons en magasin spécialisé,2020-08-25,0,4931C8DE-19E8-EB11-BACB-0022489B9951
RICHARD,08236,8690d,IND,Activités des infirmiers et des sages-femmes,2020-08-24,0,9CBA9DEB-19E8-EB11-BACB-0022489B9951
ESPACE CONSEILS ISOLATION GOUPIL,08239,4329A,EURL,,2020-06-30,0,2C3473F8-19E8-EB11-BACB-0022489B9951
LE BERRE PAYSAGE,08241,8130Z,EURL,,2020-11-17,0,0363A7FE-19E8-EB11-BACB-0022489B9951
UME,08245,7410Z,EURL,Activités spécialisées de design,2020-08-31,0,7EE8E00F-1AE8-EB11-BACB-0022489B9951
ELIAS,08248,5610C,SARL,Restauration de type rapide,2020-09-08,4,869F781C-1AE8-EB11-BACB-0022489B9951
SCI CHEMIN DES CORBETIERES,08251,6820B,SCI,Location de terrains et d'autres biens immobiliers,2021-02-10,0,A09F781C-1AE8-EB11-BACB-0022489B9951
4DESIGN,08264,9002Z,SASU,Activités de soutien au spectacle vivant,2020-09-11,0,432D2F44-1AE8-EB11-BACB-0022489B9951
ZERO-ZERO,08266,9002Z,SASU,,2020-09-25,0,74BED84C-1AE8-EB11-BACB-0022489B9951
TENEBRES,08268,9002Z,SAS,Activités de soutien au spectacle vivant,2020-10-22,0,2672E556-1AE8-EB11-BACB-0022489B9951
TOUT NETTOYAGE SERVICES,08273,8122Z,EURL,Autres activités de nettoyage des bâtiments et nettoyage industriel,2020-11-25,0,69997E67-1AE8-EB11-BACB-0022489B9951
COMEBAM,08277,4765z,SASU,,2020-10-31,0,224F3376-1AE8-EB11-BACB-0022489B9951
NOMADE EVENEMENTS,08284,1013B,SASU,Charcuterie,2022-05-31,2,D2272B8B-1AE8-EB11-BACB-0022489B9951
PILOQUAIS,08298,6820B,SCI,Location de terrains et d'autres biens immobiliers,2021-10-01,0,B718EABB-1AE8-EB11-BACB-0022489B9951
LE FOURN'ILE,08319,1071C,SAS,,2020-12-23,0,BF3F7107-1BE8-EB11-BACB-0022489B9951
CLARMA,08326,6820B,SCI,Location de terrains et d'autres biens immobiliers,2020-09-08,0,9C1A8E1F-1BE8-EB11-BACB-0022489B9951
PAE DEVELOPPEMENT,08329,7740Z,EURL,Location-bail de propriété intellectuelle,2020-09-30,0,02B5D825-1BE8-EB11-BACB-0022489B9951
TACONAAN LE MANS,08333,5610A,SARL,Restauration traditionnelle,2020-08-24,0,8FD76736-1BE8-EB11-BACB-0022489B9951
RAPHAEL MULTITECHNIQUE,08334,4321A,EURL,Travaux d'installation électrique dans tous locaux,2020-09-16,0,AAD76736-1BE8-EB11-BACB-0022489B9951
LES GABIANS49,08336,6820B,SCI,Location de terrains et d'autres biens immobiliers,2020-08-20,0,377BB943-1BE8-EB11-BACB-0022489B9951
SCIC LE CHÂTEAU SUR LA LOIRE,08340,5920Z,SAS,Enregistrement sonore et édition musicale,2021-01-04,0,E0B43650-1BE8-EB11-BACB-0022489B9951
SCI LLJ,08341,6820B,SCI,Location de terrains et d'autres biens immobiliers,2021-01-06,0,BEF6C956-1BE8-EB11-BACB-0022489B9951
EVRARD,08347,8211Z,EIRL,Services administratifs combinés de bureau,2020-10-14,0,9FD18869-1BE8-EB11-BACB-0022489B9951
ANTINEA,08348,4120A,SARL,Construction de maisons individuelles,2020-09-18,0,4A1FDE6F-1BE8-EB11-BACB-0022489B9951
CHAUVET,08350,4332A,IND,Travaux de menuiserie bois et pvc,2021-02-26,0,52F72877-1BE8-EB11-BACB-0022489B9951
GARNIER IMMOBILIER,08353,6820B,SCI,Location de terrains et d'autres biens immobiliers,2021-02-09,0,E312D47E-1BE8-EB11-BACB-0022489B9951
SCO ANGERS ATHLE,08355,9312Z,,Activités de clubs de sports,1900-01-01,2,4820D184-1BE8-EB11-BACB-0022489B9951
CHHUOK EI,08361,5610C,IND,Restauration de type rapide,2020-12-09,0,E719259E-1BE8-EB11-BACB-0022489B9951
HOLDING CJ,08367,6630Z,SC,Gestion de fonds,2020-09-30,0,37F29AB0-1BE8-EB11-BACB-0022489B9951
PRESTIGE AMENAGEMENTS EXTERIEURS,08374,4312A,SARL,Travaux de terrassement courants et travaux préparatoires,2020-09-30,0,188FF7CE-1BE8-EB11-BACB-0022489B9951
CHAT' LON DE THE,08375,5610C,SARL,,2020-10-13,0,2E8FF7CE-1BE8-EB11-BACB-0022489B9951
VILCHIEN ET ASSOCIES,08377,1071C,SAS,Boulangerie et boulangerie-pâtisserie,2020-11-05,0,48D958DD-1BE8-EB11-BACB-0022489B9951
CAFE PARTAGE,08382,5610A,SNC,Restauration traditionnelle,2021-03-10,0,F979BBEF-1BE8-EB11-BACB-0022489B9951
CUISINES DE FRANCE,08388,4332A,EURL,,2020-09-30,0,66F5F602-1CE8-EB11-BACB-0022489B9951
IMMOBILIERE LEBOUCHER,08390,6820B,SCI,,2020-09-30,0,6F09A40F-1CE8-EB11-BACB-0022489B9951
LA CROIX DE BOIS,08391,6820B,SCI,,2020-09-30,0,9109A40F-1CE8-EB11-BACB-0022489B9951
TAMPIER,08399,8690E,IND,"Activités des professionnels de la rééducation, de l'appareillage et des pédicures-podologues",2020-09-30,0,15B68930-1CE8-EB11-BACB-0022489B9951
THINON,08400,6820A,IND,,2020-10-13,0,87B5C837-1CE8-EB11-BACB-0022489B9951
MICHEL,08401,6820A,IND,Location de logements,2020-10-13,0,A3B5C837-1CE8-EB11-BACB-0022489B9951
MINERALIA,08408,4690Z,SASU,Commerce de gros (commerce interentreprises) non spécialisé,2020-10-06,0,28E1BB51-1CE8-EB11-BACB-0022489B9951
LES GOURMANDISES DU NORD,08415,1071C,SARL,,2021-02-05,0,D0B6DF67-1CE8-EB11-BACB-0022489B9951
HERUS,08416,7010Z,EURL,Activités des sièges sociaux,2020-10-30,0,A501D86D-1CE8-EB11-BACB-0022489B9951
OPTIMUM,08418,6420Z,EURL,Activités des sociétés holding,2020-10-30,0,EBE0E474-1CE8-EB11-BACB-0022489B9951
MUPI,08428,6820B,SCI,Location de terrains et d'autres biens immobiliers,2020-10-06,0,CE70BC9F-1CE8-EB11-BACB-0022489B9951
VISAGE SCIENCE AND TECHNOLOGY,08446,6201Z,SAS,,2020-10-31,0,16B8CDE0-1CE8-EB11-BACB-0022489B9951
ANJOU BOX,08450,7729z,SARL,Location et location-bail d'autres biens personnels et domestiques,2021-01-05,0,FEF81BEF-1CE8-EB11-BACB-0022489B9951
L'ELAN,08451,6832A,SCI,Administration d'immeubles et autres biens immobiliers,2021-01-05,0,ED8E1BF5-1CE8-EB11-BACB-0022489B9951
PAPETERIE POUTEAU,08460,4762Z,SAS,Commerce de détail de journaux et papeterie en magasin spécialisé,2021-01-18,0,CA49071A-1DE8-EB11-BACB-0022489B9951
OIKOS,08462,6820B,SCI,Location de terrains et d'autres biens immobiliers,2020-11-06,0,F5963D20-1DE8-EB11-BACB-0022489B9951
GARAGE MOINARD JEAN-MICHEL,08463,4520A,SAS,Entretien et réparation de véhicules automobiles légers,2021-01-13,0,0C973D20-1DE8-EB11-BACB-0022489B9951
KAZELI,08468,6820B,SCI,Location de terrains et d'autres biens immobiliers,2021-04-19,0,F9617233-1DE8-EB11-BACB-0022489B9951
THEATRES NANTAIS ASSOCIES,08470,9001Z,ASS,Arts du spectacle vivant,2021-07-20,0,A6E16A39-1DE8-EB11-BACB-0022489B9951
LPS,08472,7022Z,SASU,Conseil pour les affaires et autres conseils de gestion,2020-11-27,0,93CA633F-1DE8-EB11-BACB-0022489B9951
TAXI MANON,08473,4932Z,EURL,Transports de voyageurs par taxis,2021-05-31,1,AACA633F-1DE8-EB11-BACB-0022489B9951
SCI SOCRATE,08475,6820B,SCI,Location de terrains et d'autres biens immobiliers,2020-11-17,0,5DE0D94B-1DE8-EB11-BACB-0022489B9951
PAE BORDEAUX,08479,,EURL,,2020-11-30,0,D25B1458-1DE8-EB11-BACB-0022489B9951
ATESIS,08487,2829B,SAS,Fabrication d'autres machines d'usage général,2020-12-18,0,9F82A376-1DE8-EB11-BACB-0022489B9951
PAE DUNKERQUE,08489,4312A,EURL,,2021-01-27,0,6774A47D-1DE8-EB11-BACB-0022489B9951
CLAAS ARCHITECTES,08496,7111Z,SARL,Activités d'architecture,2020-12-09,7,1561D690-1DE8-EB11-BACB-0022489B9951
BARRE LMNP ,08497,,IND,,2020-11-04,0,C05FF697-1DE8-EB11-BACB-0022489B9951
PAE ANNECY,08500,4312A,EURL,,2021-03-29,0,B5B848A4-1DE8-EB11-BACB-0022489B9951
HIGH 5,08502,6820B,SCI,Location de terrains et d'autres biens immobiliers,2020-12-03,0,930141AA-1DE8-EB11-BACB-0022489B9951
JOSNIN,08503,7022Z,EIRL,Conseil pour les affaires et autres conseils de gestion,2021-04-29,0,BF4B39B0-1DE8-EB11-BACB-0022489B9951
PAE LE MANS SUD,08505,,SARL,,2020-12-29,0,764842B6-1DE8-EB11-BACB-0022489B9951
4J,08506,,SARL,,2020-12-29,0,F47C46BC-1DE8-EB11-BACB-0022489B9951
C2S,08512,4619B,SASU,Autres intermédiaires du commerce en produits divers,2021-01-31,0,15B60DD1-1DE8-EB11-BACB-0022489B9951
EUTELES,08513,2899A,EURL,Fabrication de machines d'imprimerie,2020-12-23,2,54270DD7-1DE8-EB11-BACB-0022489B9951
COUE,08516,4321A,IND,Travaux d'installation électrique dans tous locaux,2020-12-15,0,1421BFE0-1DE8-EB11-BACB-0022489B9951
ROSA BONHEUR,08523,6820B,SCI,Location de terrains et d'autres biens immobiliers,2021-04-20,0,16606CFA-1DE8-EB11-BACB-0022489B9951
PAE ANGERS SUD,08524,4312A,SARL,Travaux de terrassement courants et travaux préparatoires,2021-03-31,0,57606CFA-1DE8-EB11-BACB-0022489B9951
LTLI,08525,6820B,SCI,Location de terrains et d'autres biens immobiliers,2020-12-08,0,30D27000-1EE8-EB11-BACB-0022489B9951
CPM,08550,4333Z,EURL,Travaux de revêtement des sols et des murs,2021-02-09,0,BFFE3E5C-1EE8-EB11-BACB-0022489B9951
WHISKY DISTRICT,08553,4634Z,SARL,Commerce de gros (commerce interentreprises) de boissons,2021-01-04,0,22576A69-1EE8-EB11-BACB-0022489B9951
LE TARTESSE,08554,6820A,IND,Location de logements,2020-12-16,0,53576A69-1EE8-EB11-BACB-0022489B9951
SCI L'OLIVIER,08555,6820B,SCI,Location de terrains et d'autres biens immobiliers,2021-03-29,0,98286C6F-1EE8-EB11-BACB-0022489B9951
LES JARDINS D'ADONIS,08564,8130Z,SARL,Services d'aménagement paysager,2021-01-14,0,87746693-1EE8-EB11-BACB-0022489B9951
BOUCHERIE CLEMENT,08565,4781Z,EURL,Commerce de détail alimentaire sur éventaires et marchés,2021-07-09,2,EE746693-1EE8-EB11-BACB-0022489B9951
C2LB,08571,6820B,SCI,Location de terrains et d'autres biens immobiliers,2021-03-13,0,2EEF55AB-1EE8-EB11-BACB-0022489B9951
LA BELLA SICILIA,08572,5610a,EURL,,2021-01-31,0,229C50B1-1EE8-EB11-BACB-0022489B9951
BEDD,08573,6820B,SCI,Location de terrains et d'autres biens immobiliers,2021-01-14,0,AE9C50B1-1EE8-EB11-BACB-0022489B9951
LIBERGE,08574,6820A,IND,Location de logements,2021-01-11,0,CBE648B7-1EE8-EB11-BACB-0022489B9951
PORTEBOEUF,08576,4511Z,SARL,Commerce de voitures et de véhicules automobiles légers,2021-02-17,0,185070C3-1EE8-EB11-BACB-0022489B9951
YO JABENISANAEL,08582,9602A,SARL,Coiffure,2021-01-06,0,42667CDB-1EE8-EB11-BACB-0022489B9951
FE INVEST,08583,6420Z,SAS,Activités des sociétés holding,2021-12-09,0,E6667CDB-1EE8-EB11-BACB-0022489B9951
LE COMPLICE DES PRODUCTEURS,08584,4631Z,EURL,Commerce de gros (commerce interentreprises) de fruits et légumes,2021-04-09,0,1DAF74E1-1EE8-EB11-BACB-0022489B9951
PLAISANCE,08586,6820B,SCI,Location de terrains et d'autres biens immobiliers,2021-02-10,0,FC4171ED-1EE8-EB11-BACB-0022489B9951
AUVRET,08592,6820A,IND,,2021-01-31,0,46727105-1FE8-EB11-BACB-0022489B9951
PROFILIA CONSTRUCTION,08613,4331Z,SASU,Travaux de plâtrerie,2021-01-31,0,09FB7447-1FE8-EB11-BACB-0022489B9951
LMNP POUPART,08622,6820A,IND,Location de logements,2021-05-11,0,11337B6B-1FE8-EB11-BACB-0022489B9951
MINZIERE,08632,6820B,SCI,Location de terrains et d'autres biens immobiliers,2021-02-09,0,EB706495-1FE8-EB11-BACB-0022489B9951
CUCHET,08633,1071C,SARL,Boulangerie et boulangerie-pâtisserie,2021-06-23,4,5F716495-1FE8-EB11-BACB-0022489B9951
LHD IMMO,08634,6820B,SCI,Location de terrains et d'autres biens immobiliers,2021-02-09,0,EBBB5C9B-1FE8-EB11-BACB-0022489B9951
ART DENTAIRE DU MAINE,08635,3250A,EURL,Fabrication de matériel médico-chirurgical et dentaire,2021-02-26,8,CC6657A1-1FE8-EB11-BACB-0022489B9951
ADM PLUS,08636,6820A,SCI,Location de logements,2021-02-26,0,426757A1-1FE8-EB11-BACB-0022489B9951
LETENDARD,08638,4322A,EIRL,Travaux d'installation d'eau et de gaz en tous locaux,2021-03-29,0,457554A7-1FE8-EB11-BACB-0022489B9951
